Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
,"🔥 Topps Star Wars Original Trilogy Sealed Wax Box — Your Choice 1977 / 1980 / 1983","Set=1977 Topps Star Wars;1980 Topps The Empire Strikes Back;1983 Topps Return of the Jedi",,"10","FIXED_PRICE","USD",0.00,,,0.00,"0","","","","","Sealed Trading Card Boxes","261035","","","New/Factory Sealed","","","","","","US","","",""
,"🔥 Topps Star Wars Original Trilogy Sealed Wax Box — Your Choice 1977 / 1980 / 1983","Set=1977 Topps Star Wars",SW-1977,"5","FIXED_PRICE","USD",0.00,,,,"0",,,"","","Sealed Trading Card Boxes","261035","","","New/Factory Sealed",,,,,"","US","","",""
,"🔥 Topps Star Wars Original Trilogy Sealed Wax Box — Your Choice 1977 / 1980 / 1983","Set=1980 Topps The Empire Strikes Back",SW-1980,"3","FIXED_PRICE","USD",0.00,,,,"0",,,"","","Sealed Trading Card Boxes","261035","","","New/Factory Sealed",,,,,"","US","","",""
,"🔥 Topps Star Wars Original Trilogy Sealed Wax Box — Your Choice 1977 / 1980 / 1983","Set=1983 Topps Return of the Jedi",SW-1983,"2","FIXED_PRICE","USD",0.00,,,,"0",,,"","","Sealed Trading Card Boxes","261035","","","New/Factory Sealed",,,,,"","US","","",""
